"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000015",606.682161550163,-0.177975704606776,0.126506250968513,-1.40685304674055,0.159470968939624,0.304444577066555
"ENSMUSG00000000082",12.6200414716605,0.850317288507975,0.622121168990673,1.36680333493156,0.171686957202831,0.320482320111951
"ENSMUSG00000000037",122.577973522612,-0.285426593307601,0.215679084542625,-1.32338559352143,0.185707180231138,0.339117459552513
"ENSMUSG00000000097",303.795968037635,0.18158442832855,0.147999414197925,1.22692666935634,0.219850153737139,0.392923679019567
"ENSMUSG00000000045",39.8984790628304,0.5066085221972,0.428382592321541,1.18260762990328,0.236964687229374,0.407893226010368
"ENSMUSG00000000084",348.837783828135,-0.197646639957784,0.168868790711394,-1.17041543985219,0.241833825222531,0.407893226010368
"ENSMUSG00000000077",216.228855128346,0.206075795054052,0.176429821079171,1.16803267040427,0.242793586910933,0.407893226010368
"ENSMUSG00000000014",116.172725939252,0.260032456313025,0.234796170018671,1.10748167779886,0.268085729625547,0.441552966442078
"ENSMUSG00000000087",461.301961124126,0.160587135522346,0.147025969804654,1.09223653301325,0.274729148552923,0.443793239970106
"ENSMUSG00000000060",367.962840707864,0.140835467384349,0.136922187964095,1.02858031615212,0.30367693152722,0.481299287703519
"ENSMUSG00000000071",437.533339970539,-0.133641675520229,0.135955853825023,-0.982978457788415,0.325618041148402,0.506516952897514
"ENSMUSG00000000039",95.3136939487038,-0.250476023204066,0.264133228292514,-0.948294255983108,0.342979674247351,0.515624191539182
"ENSMUSG00000000093",2614.43119894177,-0.0942697158435008,0.0995684696320999,-0.946782813794591,0.343749461026122,0.515624191539182
"ENSMUSG00000000088",690.793348126998,0.116234363647575,0.127597200344802,0.910947601777143,0.362322982750166,0.521428971372032
"ENSMUSG00000000079",617.185809941328,0.110387806152311,0.12150084716672,0.908535279600482,0.36359548304796,0.521428971372032
"ENSMUSG00000000028",126.475100849943,0.204597924309647,0.227566583184785,0.899068402075152,0.368616227448927,0.521428971372032
"ENSMUSG00000000075",755.380970841765,0.0994613697878323,0.11151691652571,0.891894906051328,0.372449265265737,0.521428971372032
"ENSMUSG00000000090",995.763226321498,-0.085651012060263,0.0986543354913457,-0.868193086838809,0.385288638142081,0.530561403343193
"ENSMUSG00000000069",8.70454064839619,-0.608281813908962,0.728973134496799,-0.8344365315038,0.404035038551881,0.547402310296097
"ENSMUSG00000000050",1241.8723927092,-0.0848090515757829,0.108735904897625,-0.77995443782466,0.435417694002746,0.580556925336995
"ENSMUSG00000000085",26.7714028197062,-0.348103039980743,0.453958962206898,-0.766816097843864,0.443190863861991,0.581688008818863
"ENSMUSG00000000057",496.449373618876,-0.0905761479002963,0.131513402115578,-0.688721806623901,0.490998350617344,0.634520945413183
"ENSMUSG00000000094",159.220955803679,0.164249378889105,0.246168337531226,0.667223821456205,0.504629177240513,0.642255316487926
"ENSMUSG00000000076",1304.48622595612,-0.0488560423518509,0.0941961090652033,-0.518663061953359,0.603995724596098,0.73369536677508
"ENSMUSG00000000066",152.596799211563,0.115026639387571,0.223252112756024,0.515232030584522,0.606390888852933,0.73369536677508
"ENSMUSG00000000011",202.080636062541,-0.0902687671228258,0.176458569749687,-0.511557853216623,0.608960489025898,0.73369536677508
"ENSMUSG00000000038",864.307487151413,0.0631347161288163,0.124266797135615,0.508057804530971,0.6114128056459,0.73369536677508
"ENSMUSG00000000042",303.965580900882,-0.0721156095532377,0.145975340771284,-0.494025971593581,0.621287837593391,0.735044765603449
"ENSMUSG00000000047",313.415755633153,-0.0736389505972,0.157872049090848,-0.466447043800795,0.640895544699156,0.747711468815682
"ENSMUSG00000000005",87.7305534178595,-0.109912610402935,0.265082264088933,-0.414635851933346,0.678408498549014,0.775869893458269
"ENSMUSG00000000049",3675.01243004168,-0.0349189896990398,0.0892190134218623,-0.391385068717687,0.695512627330515,0.775869893458269
"ENSMUSG00000000004",323.652781167093,0.0536262443793903,0.146570388420621,0.365873659456344,0.71445935233563,0.775869893458269
"ENSMUSG00000000019",852.377910286461,-0.0415588854082698,0.119119585563363,-0.348883730678894,0.727176599720483,0.775869893458269
"ENSMUSG00000000016",9.6860677711108,-0.219691501776192,0.687214415534082,-0.319684070662945,0.749207836381581,0.775869893458269
"ENSMUSG00000000029",352.722379310041,-0.0464410732417108,0.148354323368159,-0.313041589805655,0.754249064816822,0.775869893458269
"ENSMUSG00000000013",541.107202923747,-0.0369195530520868,0.118044100943337,-0.312760678060557,0.754462491982521,0.775869893458269
"ENSMUSG00000000036",9.37092926192399,0.22033648970142,0.710084590711595,0.310296114834171,0.756335785366294,0.775869893458269
"ENSMUSG00000000012",2931.08924087349,0.031555690024559,0.102068378485366,0.309162254684818,0.757198104706709,0.775869893458269
"ENSMUSG00000000022",691.257211876972,0.0341478128653052,0.110546122317333,0.308901046454445,0.757396800756881,0.775869893458269
"ENSMUSG00000000033",1842.87047564957,0.017723372868708,0.0891279084167974,0.198853234452967,0.842377552360588,0.852526679497463
"ENSMUSG00000000052",614.72520126241,0.0193627672552777,0.127177438509022,0.152250017631107,0.878989745386397,0.878989745386397
